时间,开盘,最高,最低,收盘,涨幅
"2004-08-04,三",14.5,15,14.02,14.63,38.54%
"2004-08-05,四",14.35,14.8,14.23,14.8,1.16%
"2004-08-06,五",14.78,15.01,14.13,14.72,-0.54%
"2004-08-09,一",14.44,14.48,13.57,13.73,-6.73%
"2004-08-10,二",13.6,13.83,13.44,13.71,-0.15%
"2004-08-11,三",13.72,13.72,12.8,13.02,-5.03%
"2004-08-12,四",12.89,12.98,12.67,12.8,-1.69%
"2004-08-13,五",12.72,13.04,12.43,12.45,-2.73%
"2004-08-16,一",12.31,12.4,11.31,11.38,-8.59%
"2004-08-17,二",11.27,11.55,11.14,11.26,-1.05%
"2004-08-18,三",11.2,11.3,10.82,10.84,-3.73%
"2004-08-19,四",10.67,11,10.61,10.88,0.37%
"2004-08-20,五",10.95,11.1,10.71,10.95,0.64%
"2004-08-23,一",10.76,10.79,10.2,10.26,-6.30%
"2004-08-24,二",10.31,10.56,10.07,10.42,1.56%
"2004-08-25,三",10.39,10.49,10.1,10.49,0.67%
"2004-08-26,四",10.49,10.54,10.05,10.05,-4.19%
"2004-08-27,五",10.3,10.66,10.2,10.46,4.08%
"2004-08-30,一",10.37,11.35,10.3,10.88,4.02%
"2004-08-31,二",11.3,11.45,10.95,10.96,0.74%
"2004-09-01,三",10.8,10.9,10.66,10.7,-2.37%
"2004-09-02,四",10.66,10.93,10.5,10.9,1.87%
"2004-09-03,五",10.9,10.94,10.59,10.66,-2.20%
"2004-09-06,一",10.66,10.78,10.56,10.7,0.38%
"2004-09-07,二",10.74,10.81,10.61,10.75,0.47%
"2004-09-08,三",10.72,10.78,10.59,10.72,-0.28%
"2004-09-09,四",10.61,10.64,10.38,10.42,-2.80%
"2004-09-10,五",10.38,10.54,10.31,10.47,0.48%
"2004-09-13,一",10.45,10.54,10.07,10.09,-3.63%
"2004-09-14,二",10.2,10.68,10.2,10.49,3.96%
"2004-09-15,三",10.49,11.39,10.37,11.13,6.10%
"2004-09-16,四",11.25,11.68,11.1,11.51,3.41%
"2004-09-17,五",11.51,11.94,11.25,11.9,3.39%
"2004-09-20,一",12,12.27,11.76,12.18,2.35%
"2004-09-21,二",12.25,12.59,11.88,12.32,1.15%
"2004-09-22,三",12.23,12.5,12.1,12.3,-0.16%
"2004-09-23,四",12.26,12.38,11.76,12.13,-1.38%
"2004-09-24,五",12.22,12.7,11.7,11.7,-3.54%
"2004-09-27,一",12.01,12.19,11.58,11.63,-0.60%
"2004-09-28,二",11.69,11.89,11.58,11.72,0.77%
"2004-09-29,三",11.75,11.98,11.69,11.78,0.51%
"2004-09-30,四",11.78,12.03,11.6,11.61,-1.44%
"2004-10-08,五",11.62,12.34,11.62,12.32,6.12%
"2004-10-11,一",12.47,13,12.2,12.29,-0.24%
"2004-10-13,三",12.12,12.39,11.87,12.1,-1.55%
"2004-10-14,四",12.13,12.2,10.89,10.89,-10.00%
"2004-10-15,五",10.7,10.81,10.39,10.62,-2.48%
"2004-10-18,一",10.58,10.97,10.58,10.82,1.88%
"2004-10-19,二",10.94,11.14,10.6,10.61,-1.94%
"2004-10-20,三",10.62,10.77,10.45,10.74,1.23%
"2004-10-21,四",10.71,10.91,10.53,10.57,-1.58%
"2004-10-22,五",10.55,10.94,10.28,10.94,3.50%
"2004-10-25,一",10.9,11.05,10.59,10.6,-3.11%
"2004-10-26,二",10.56,10.93,10.46,10.9,2.83%
"2004-10-27,三",10.9,11.4,10.8,11.38,4.40%
"2004-10-28,四",11.4,11.45,10.9,11.02,-3.16%
"2004-10-29,五",11.02,11.67,11.02,11.32,2.72%
"2004-11-01,一",11.35,11.48,11.18,11.26,-0.53%
"2004-11-02,二",11.12,11.26,10.92,11.05,-1.87%
"2004-11-03,三",11.15,11.5,11.05,11.48,3.89%
"2004-11-04,四",11.5,11.54,10.92,10.95,-4.62%
"2004-11-05,五",11.17,11.2,10.92,11.03,0.73%
"2004-11-08,一",11,11.1,10.8,10.88,-1.36%
"2004-11-09,二",10.88,11.12,10.85,10.96,0.74%
"2004-11-10,三",11.12,12.06,10.91,12.06,10.04%
"2004-11-11,四",12.54,12.94,12.2,12.24,1.49%
"2004-11-12,五",12.3,12.46,12.04,12.28,0.33%
"2004-11-15,一",12.31,12.41,12.08,12.34,0.49%
"2004-11-16,二",12.35,12.36,12.02,12.11,-1.86%
"2004-11-17,三",12.12,12.35,12.01,12.18,0.58%
"2004-11-18,四",12.18,12.37,12.1,12.23,0.41%
"2004-11-19,五",12.21,12.45,12.12,12.36,1.06%
"2004-11-22,一",12.46,12.88,12.38,12.8,3.56%
"2004-11-23,二",12.86,12.88,12.31,12.38,-3.28%
"2004-11-24,三",12.28,12.45,11.91,12.08,-2.42%
"2004-11-25,四",12.1,12.19,11.91,11.99,-0.75%
"2004-11-26,五",11.95,12.14,11.93,12.01,0.17%
"2004-11-29,一",11.96,12,11.57,11.6,-3.41%
"2004-11-30,二",11.57,11.74,11.52,11.68,0.69%
"2004-12-01,三",11.7,11.75,11.47,11.51,-1.46%
"2004-12-02,四",11.5,11.51,11.33,11.47,-0.35%
"2004-12-03,五",11.52,12.62,11.52,12.14,5.84%
"2004-12-06,一",12.15,12.27,11.89,12.08,-0.49%
"2004-12-07,二",12.21,12.21,11.79,11.84,-1.99%
"2004-12-08,三",11.99,12.39,11.99,12.1,2.20%
"2004-12-09,四",12.08,12.68,12.08,12.37,2.23%
"2004-12-10,五",12.28,12.3,11.9,11.98,-3.15%
"2004-12-13,一",11.95,12.31,11.86,12.28,2.50%
"2004-12-14,二",12.28,12.37,12.05,12.33,0.41%
"2004-12-15,三",12.35,12.45,12.1,12.28,-0.41%
"2004-12-16,四",12.18,12.34,11.9,11.91,-3.01%
"2004-12-17,五",11.85,11.87,11.58,11.62,-2.43%
"2004-12-20,一",11.55,11.55,11.21,11.35,-2.32%
"2004-12-21,二",11.4,11.59,11.28,11.36,0.09%
"2004-12-22,三",11.48,11.85,11.35,11.84,4.23%
"2004-12-23,四",11.86,11.89,11.35,11.38,-3.89%
"2004-12-24,五",11.3,11.64,11.26,11.48,0.88%
"2004-12-27,一",11.4,11.57,11.31,11.39,-0.78%
"2004-12-28,二",11.35,11.5,11.26,11.38,-0.09%
"2004-12-29,三",11.43,11.5,11,11,-3.34%
"2004-12-30,四",10.9,11.2,10.85,11.09,0.82%
"2004-12-31,五",11.15,11.2,10.8,10.83,-2.34%
"2005-01-04,二",10.81,10.81,10.6,10.73,-0.92%
"2005-01-05,三",10.73,11.16,10.73,11,2.52%
"2005-01-06,四",11.06,11.06,10.85,11.04,0.36%
"2005-01-07,五",11.1,11.28,10.88,11.03,-0.09%
"2005-01-10,一",10.92,11.42,10.86,11.31,2.54%
"2005-01-11,二",11.42,11.5,11.22,11.35,0.35%
"2005-01-12,三",11.3,11.4,11.11,11.31,-0.35%
"2005-01-13,四",11.17,11.43,11.17,11.3,-0.09%
"2005-01-14,五",11.2,11.41,10.98,11,-2.65%
"2005-01-17,一",10.85,10.93,10.66,10.7,-2.73%
"2005-01-18,二",10.85,11.03,10.8,10.99,2.71%
"2005-01-19,三",11.04,11.05,10.75,10.76,-2.09%
"2005-01-20,四",10.66,10.78,10.5,10.56,-1.86%
"2005-01-21,五",10.52,10.93,10.08,10.84,2.65%
"2005-01-24,一",11.24,11.45,10.98,11.2,3.32%
"2005-01-25,二",11.05,11.05,10.71,10.88,-2.86%
"2005-01-26,三",10.71,10.93,10.6,10.71,-1.56%
